,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
szechuan lotus root,"2 lotus root sections, cut into thin slices","3 garlic cloves, minced","1 thumb ginger, minced","4 green onion, cut into pieces","Half of a fresh red pepper, shredded","5-8 dried chili pepper, halved",⅛ teaspoon Sichuan pepper,1 tablespoon cooking oil,Pinch of salt,1 tablespoon light soy sauce,½ tablespoon vinegar (if you want a slightly sour taste the same with me),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
three cup chicken,"2 chicken leg quarters (you can use whole chicken, just cut it into small pieces)",2 cups fresh sweet basil leaves,2 tablespoons rice wine,2 tablespoons soy sauce (1 and ¾ tablespoons light soy sauce+1/4 tablespoon dark soy sauce),1 teaspoon rock sugar,1 and ⅕ tablespoons sesame oil,"2 garlic cloves, sliced","1 thumb ginger, sliced",3 green onion whites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunan beef,200g beef tenderloin,2 long green peppers,3 long red peppers,½ cup pickled yellow pepper,1 cup of celery,"2 garlic cloves, chopped","1 thumb ginger, chopped","¼ teaspoon baking soda (can be used for tendering the meat, optional)",small pinch of salt,1 tablespoon light soy sauce,3 tablespoons cooking oil,1 tablespoon cooking wine,1 tablespoon light soy sauce,1 tablespoon starch,small pinch of salt,pinch of pepper,½ tablespoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese potato salad,"Around 3 cups shredded potatoes, I use 2 middle size potatoes",1 cup shredded carrot,"1 small bunch of coriander, cut into sections",1 tablespoon black vinegar,Pinch of salt,1 tablespoon light soy sauce,2 tablespoons sesame oil,⅛ teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garlic snow peas stir fry,"2 cups snow peas, trimmed",½ tablespoon cooking oil,"3 garlic cloves, minced",1 teaspoon sesame oil,pinch of salt,toasted sesame seeds for garnishing (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veg fried rice,2 cups leftover rice or steamed rice,¼ cup carrot dice,¼ cup corn,¼ cup diced purple cabbage,½ cup Bok Choy (you can use celery to replace it),"4 pre-soaked mushrooms, diced",1 tablespoon light soy sauce,pinch of salt,½ tablespoon cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaobing,2 cups all-purpose flour,"150ml warm water, around 35 degree C (10ml for adjusting )",2 teaspoons yeast,1 teaspoon sugar,pinch of salt,sesame oil,light soy sauce for brushing,toasted sesame seeds,2 tablespoons sesame paste,1 and ½ tablespoon sesame oil,2 tablespoons Sichuan peppercorn(adjust according to personally preference),pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small sticky rice balls over mango smoothie,"2 large cooled ripe mangos, peeled and cubed",Coconut milk as desired,"1 cooled banana for adding some sweetness, peeled (optional)",1 cup glutinous rice flour,⅓ cup+1 tablespoon water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shui zhu pork szechuan pork in spicy broth,150g pork chops or pork butt (highly recommend the butt),"1 small bunch of water spinach, root removed and cut into sections",pinch of salt,4 tablespoons starch (recommend potato starch or sweet potato starch),1 tablespoon Chinese cooking wine,1+1/2 tablespoons water or slightly more if needed.,"2 green onions, white part cut into 2cm long and green pert chopped",2 star anises,5-8 dried chili pepper,½ teaspoon Sichuan pepper,1 tablespoon doubajiang,1 teaspoon dou-chi (otpional),water as needed,1+2 tablespoons cooking oil,"3 garlic cloves, sliced","1 thumb ginger, sliced",coriander for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sichuan pepper introduction and sourcing tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thai sticky rice recipe with mango,1 cup Thai sticky rice,1 cup coconut milk,¼ cup water or slightly more if needed,"1 large mango, peeled and cut into cubes",2 tablespoon of sugar,pinch of salt,roasted black sesame seeds (for decoration),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zongzi recipe,Bamboo leaves or other leaves for wrapping Zongzi,String or cotton yarn for fixing Zongzi,"½ cup pork meat, cut into one bite size",1+1/2 teaspoon Chinese five spice powder,Pinch of salt,½ tablespoon+1 tablespoon light soy sauce,1 teaspoon dark soy sauce,½ tablespoon cooking wine,"2 tablespoons red bean paste (Or you can use red beans directly, pre-soaked)",1 cup corn,⅓ cup sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red braised pork belly with dried chinese long beans,"1 Pound pork belly, cut into 2cm cubs","200g dried Chinese long beans, pre-soaked and cut in 3cm pieces",½ tablespoon cooking oil,2 tablespoons soy sauce,¼ teaspoon salt,3 slices of ginger,1 star anise,1 tablespoon cooking wine,½ tablespoon rock sugar,2 dried chili peppers,water as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese shrimp congee,1 cup rice,2 Liter water,"10 small-sized shrimps or more if you wanted (divined and unshelled, I keep the tail)","½ cup minced greens (Bok Choy, Yu Choy etc)",Pinch of salt to taste,"1 piece of ginger, shredded",Pinch of ground pepper,"Green onion, minced for garnish",1 tablespoon cooking wine,½ teaspoon cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saliva chicken,1 chicken around 2 pound,4 ginger slices,2 green onions,1 tablespoon cooking wine,"Peanuts, toasted and crushed","White sesame seeds, toasted",2 slices of ginger,2 star anise,1 teaspoon cumin,4-6 dried chili pepper,2 bay leaves,2 tablespoons chili powder,1 and ½ teaspoon Sichuan peppercorn (or powder),1 and ½ teaspoon Chinese five spice powder,1 tablespoon sesame seeds,4-6 tablespoons Szechuan style chili oil,2 tablespoons black vinegar,1 tablespoon sesame oil,2 tablespoon cooking wine,½ teaspoon sugar,pinch of salt,1 tablespoon light soy sauce,"2 garlic cloves, smashed",½ tablespoon minced green onion,Minced coriander,,,,,,,,,,,,,,,,,,,,,
tomato brisket,1 pound brisket,3 middle size tomatoes ;cut into small wedges,1 tablespoon ketchup (optional for coloring and favoring),pinch of salt,pinch of ground pepper,2 star anises,water as needed,"¼ red onion, cut into shreds","2 garlic cloves, minced",1 tablespoon cooking oil,4 ginger slices,2 spring onions,noodles for serving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salt and pepper chicken wings,10 chicken wings,1+1/2 teaspoon salt,1 teaspoon oil,ground pepper as needed,other spices as needed like cumin,Spring onion or coriander for decorating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese cabbage stir fry,1 head Napa cabbage around 2 pounds (remove the parts with fresh leaves),1 tablespoon vegetable oil for frying,"2 garlic cloves, minced",1 tablespoon minced ginger,1 tablespoon doubanjiang(other chili paste: ok)or to taste,"2 green onion, white and green part separated and minced",1 fresh Thai red chili pepper or Szechuan style pickled red pepper,pinch of salt if necessary,2 teaspoons sugar,2 teaspoons starch,1 teaspoon light soy sauce,1 tablespoon Chinese black vinegar,1 tablespoon cooking wine,1 teaspoon sesame oil (optional),1 tablespoon water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese fa gao fortune cake,1 cup all-purpose flour,130ml hot water,½ cup brown sugar,2 teaspoons baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how to make dumplings,"500g all-purpose flour, plus more for dusting","260ml water (room temperature or hot boiling, see tip3)",a small pinch of salt (around ½ tsp.),500g Ground pork (at least 20% fat) (you can replace ⅓ pork with shrimp),"450g Chive, hard ends removed",1 large egg,2 tbsp. hot oil,"3 tbsp. sesame oil, divided",1 tbsp. light soy sauce,1 tbsp. oyster sauce,1 tbsp. cooking wine,1 tbsp. grated ginger,2 tbsp. chopped green onions,1 tsp. salt or to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yu choy stir fry,1 pound Yu Choy also known as Yu Chai (tough skin removed and cut into stalks if necessary),1 tablespoon cooking oil,"4 garlic cloves, finely chopped or mashed",Pinch of salt,Drops of sesame oil (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese sticky rice recipes two ways,1 cup sticky rice,6 dried mushroom,2 tablespoons dried small shrimp (optional),"Half of Chinese sausage, around ¼ cup sliced",1 tablespoon cooking oil,"1 garlic clove, finely chopped","2 spring onions, chopped",½ tablespoon light soy sauce,½ tablespoon oyster sauce,1 teaspoon sesame oil,½ cup sticky rice,2 tablespoon sugar,1 tablespoon lard,½ cup red bean paste,oil for brushing the bottoms,Red date for decorating,Raisin for decorating,Dried cranberry for decorating,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egg tart recipe hong kong style,"2 middle size eggs, whisked (include 1 tablespoon for pastry dough)",90ml hot water,35g sugar (around 2 tablespoons+1 teaspoon for castor sugar) You can adjust slightly,⅛ teaspoon salt,30g evaporated milk(around 2 tablespoons),Dash of vanilla extract (optional,90g cake flour (160ml),"50g unsalted butter, soften in room temperature",25g icing sugar (1/4 cup),1 tablespoon of whisked egg,⅛ teaspoon salt,Dash of vanilla extract (if you prefer),melted butter for brushing the moulds,Flour for dusting and coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mongolian lamb,"1 lamb boneless leg, around 350g",2 leeks/scallion (remove the green part),"1-inch root ginger, minced",¼ teaspoon salt,pinch of freshly grounded black pepper,¼ teaspoon sugar,1 tablespoon oyster sauce,"1 garlic clove, minced",½ tablespoon light soy sauce,2 tablespoons cooking oil,white sesame seeds for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sesame balls jian dui,1 and ½ cup glutinous rice flour,80g sugar,100ml water or 10ml more for adjusting (include the water for small dough),½ teaspoon baking powder (optional),"1 cup roasted white sesame seeds, homemade instructions here",60g red bean paste or other filling,water for dipping,more glutinous rice flour for dusting,oil for frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roasted mushroom with cumin,"10-14 shitake mushrooms, root removed and flower cut",pinch of salt,½ tablespoon olive oil,½ teaspoon black pepper powder,pinch of cumin powder,pinch of red chili pepper powder,"1 green onion, finely chopped.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese congee with pork and century egg,½ cup white rice (I am using jasmine white rice),2.5 Liter water or stock,"1 spring onion, finely chopped",chopped coriander,pinch of salt,½ teaspoon salt,1 teaspoon cooking oil,"1 century egg, shelled and diced",1 cup minced pork,½ tablespoon cornstarch,1 teaspoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filipino chicken adobo,"4 chicken legs, bone removed and cut into pieces",2 tablespoons olive oil,3 tablespoons apple cider vinegar,2 tablespoons light soy sauce,1 tablespoon dark soy sauce,"3 garlic cloves, minced",4 bay leaves(optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled mustard green noodles,300g noodles (dried or homemade noodles),"1 green onion, chopped",1 teaspoon sesame oil,"3 fresh or dried chilies, seed removed and cut into small pieces",sesame oil for dropping,coriander for garnishing,1 tablespoon cooking oil,½ cup shredded pickled mustard green,4 cups of pork stock for serving (you can use chicken stock),½ cup shredded pork,⅛ teaspoon salt,½ tablespoon light soy sauce,½ tablespoon cornstarch,½ teaspoon sesame oil,1 teaspoon Shaoxing cooking wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese spring roll,around 20 spring roll wrappers,"½ cup pork tenderloin, shredded or grounded",1 cup shredded carrot,"2 cups shredded napa cabbage, I would recommend to use skip the soft leave parts",Cooking oil as needed,Pinch of salt,1 tablespoon cornstarch,2 tablespoons water,1 tablespoon light soy sauce,1 tablespoon cornstarch,½ tablespoon oyster sauce,1 tablespoon Shaoxing rice wine,¼ teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork stock,1000g pork leg bones,5000cc water,3 slices of ginger,1 tablespoon cooking wine,¼ of a middle size red onion,½ of a middle size carrot,6 whole white peppercorn seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glutinous rice ball with crushed peanuts,1 cup glutinous rice flour,1 tablespoon plain rice flour,½ cup lukewarm water or slightly more to adjust,20 gm crushed peanuts,10 gm sesame seeds,20 gm desiccated coconut,1 cup water,1 piece brown sugar,3 slices of old ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wonton wrappers,4 cups of plain flour,3 middle size eggs,1 teaspoon salt,1 cup water +1/4 cup more if needed,Starch for dusting (cornstarch or wheat starch recommended),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homemade nian gao,1 and ½ cup plain rice flour,1 cup glutinous rice flour,¾ cup water or ¼ cup more,1 tablespoon vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chive pancake,1 tablespoon cooking oil,vinegar or chili sauce for serving,300g all-purpose flour,130g~150g boiling water,"8 oz. fresh chive, remove the hard ends and chopped into small pieces (any question, check note 2)",3 middle size eggs,1 tablespoon dried small shrimps,1 teaspoon salt or as needed,½ tablespoon sesame oil,1 teaspoon five spicy powders,½ tablespoon minced ginger,1 tablespoon light soy sauce,½ tablespoon cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homemade meat floss,300g pork sirloin or tenderloin,2 green onions cut into short sections,5 slices of ginger,10 Sichuan peppercorn seeds,1 star anise,1 tablespoon light soy sauce,1 tablespoon light soy sauce,1 tablespoon oyster sauce,1 teaspoon Chinese five spice powder or as needed,1 tablespoon cooking oil (olive oil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curry beef potatoes,"1 and ½ lb beef brisket, cut into small cubs","1 cup carrot, cut into small cubs","½ middle size red onion, cut into slices","1 cup potatoes, cut into small cubes","1 green pepper, cut into small cubes",2 garlic cloves,100g golden curry paste,1 cup warm water,1 tablespoon cooking oil,salt if needed,Steamed rice for serving,50ml coconut milk,1 green onion,2 slices of ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim sum chicken feet,"20 chicken feet, cut the nails and any dirty parts",Oil for deep frying,Iced water for soaking the chicken feet,"2 garlic cloves, finely chopped","2 green onions, finely chopped","2 fresh Thai chili pepper, finely chopped(optional)","1 inch root ginger, finely chopped",1 tablespoon soy sauce,½ tablespoon oyster sauce,2 star anise,1 cup warm water for braising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tang yuan recipe black sesame filling,1 cup toasted black sesame,1 cup sugar or as needed,"½ cup of lard or butter, melted",2 cups glutinous rice flour,1 cup warm water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rendering lard,1000g pork fat,1 cup water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toasted black sesame,Black sesame seeds as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custard bun milk yolk buns,1 and ½ tablespoons custard powder,½ cup wheat starch+2 tablespoons cake flour,100ml milk,2 tablespoons unsalted butter,⅓ cup granulated sugar,"1 large egg+ another yolk, slightly beaten (around 100g)",2 cups cake flour or low-gluten flour,100ml milk or 20ml more if you are using all-purpose flour,¼ cup warm water around 35 degree C,1 teaspoon sugar,⅛ teaspoon salt,2 teaspoons instant yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braised chicken with chestnut,"2 pounds chicken (I use whole chicken, you can use chicken thigh)",2 tablespoons cooking oil,2 tablespoons light soy sauce,1 tablespoon cooking wine,1 cup fresh chestnut after shell,"2 green onions, finely chopped","2 garlic cloves, sliced",1 sections of scallion around 10cm long,4 slices ginger,¼ middle size red onion,2 star anises,2 cups hot water,2 tablespoons light soy sauce,1 tablespoon dark soy sauce,½ teaspoon salt (taste to adjust the amount accordingly),1 tablespoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese egg cake,2 middle size eggs (room temperature eggs),60g cake flour (1/2 US cup),40g castor sugar (around 3 tablespoons+1 teaspoon),5g oil (olive oil or other vegetable oil around ¾ teaspoon),"warm water (for speeding up the whipping process, not required in summer days.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy chinese meatballs,2 cups minced pork,1 tablespoon water,"1 green onion, finely chopped",½ tablespoon finely chopped ginger,2 tablespoons cornstarch(can be replaced by one large egg white),water or chicken stock for boiling,1 teaspoon soy sauce,salt as needed,1 teaspoon Chinese five spice powder,1 tablespoon sesame oil,1 tablespoon finely chopped green onion or more as needed,1 tablespoon finely chopped coriander or more as needed (optional),½ tablespoon soy sauce,½ tablespoon sesame oil,"1 garlic clove, smashed",salt as needed,"2 fresh Thai chili peppers, cut into small circles",2 tablespoons stock for boiling the meatballs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese style cabbage stir fry,"1 middle size cabbage, hand shredded and remove the tough parts",2 garlic cloves sliced,"1 inch root ginger, minced",3 to 6 dried chili pepper depending how spicy you want it to be,½ teaspoon Sichuan peppercorn seeds,1 tablespoon light soy sauce,½ tablespoon black vinegar,½ teaspoon salt or as needed,1 tablespoon vegetable cooking oil,"2 green onions, white part chopped and green part cut to 2 inch sections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamed chicken with chinese mushroom,Half of a whole chicken,1 handful dried wood ear mushroom,"3 fresh shitake mushrooms, sliced","Chili sauce for serving, I am using homemade Hunan style chopped chili",2 tablespoons oyster sauce,1 tablespoon light soy sauce,½ tablespoon dark soy sauce (if you want to dark the color),"2 green onions, white parts (keep the green ones for garnish)",10 ginger sheds,1 teaspoon salt,½ tablespoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
singapore mei fun,100g dried rice noodles,6 to 8 whole Shrimp (peeled and deveined),2 whole Eggs,1 cup Shredded Napa Cabbage,½ cup shredded carrot,½ cup shredded red onion,"1 fresh green pepper, shredded (I use half green and half red)","1 scallion or green onion, cut into 2 inch sections","⅓ cup Chinese Char Siu or sausage, finely sliced or shredded",½ +1 tablespoon vegetable oil,½ tablespoon golden curry powder,1 tablespoon cooking wine,½ tablespoon light soy sauce,1 teaspoon dark soy sauce,2 teaspoons sesame oil,½ tablespoon oyster sauce (optional),1 teaspoon sugar,½ teaspoon salt or as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy chinese soy sauce chicken,1 whole chicken under 800 g,"1 inch root ginger, shredded","1 spring onion, cut into sections",2 tablespoons soy sauce,"2 inch root ginger, sliced",3 tablespoons soy sauce,1 tablespoon dark soy sauce,1 tablespoon cooking wine,1 tablespoon sesame oil,1 cup water (you might need to adjust the water amount if you are using a deeper pot),1 teaspoons sugar,2 bay leaves,3-5 star anises,3 dried chili peppers,1 spring onion,1 cinnamon bark,Coriander for decorating,steamed rice for serving,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ground beef rice bowl,1 cup ground beef,2 tablespoons cooking oil,"2 green onion, finely chopped","1 inch root ginger, finely chopped",½ teaspoon salt,1 tablespoon sesame oil,"6 to 8 fresh long green chili peppers, cut into small circles(depending on how spicy you want it to be)","2 fresh red chili peppers, cut into small circles","½ middle size red onion, finely chopped","2 garlic cloves, finely chopped",½ teaspoon salt or as needed,1 tablespoon light soy sauce,½ teaspoon black vinegar,Freshly steamed rice for serving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szechuan fish suan cai yu,1 fresh fish around 800g to 1000g,1 cup pickled mustard green,4 fresh shitake mushrooms,10 dried pepper flakes or more as needed,"5 green onions or 1 scallion (separate the white part and green part) 10 garlic cloves, peeled and sliced",1 inch root ginger 1 teaspoon salt,10 whole Sichuan peppercorn seeds 3 tablespoons cooking oil,4 tablespoons starch,1 teaspoon white pepper powder,2L water or as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese egg pancake,150g all-purpose flour,100g boiling hot water,2 middle size eggs 1 teaspoon salt Lettuce leaves as needed,Chili sauce or other paste for brushing !For the inner mixture 30g all-purpose flour 1 tablespoons vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fried mantou with condensed milk,8 or 10 milk steamed buns depending on the size of your serving plate.,4 cups of vegetable oil or more as needed,½ cup of condensed milk for serving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turnip cake radish cake,300g plain rice flour,1000g Fresh long radish (aka daikon/turnip),800ml water including the water squeezed from the white radish,3-4 middle size shiitake mushroom,1 teaspoon Chinese five spice powder (can be replaced by white pepper powder),1 tablespoon dried shrimp-pre soaked,100g Chinese sausage,¼ middle size red onion,3 green onions,½ tablespoon salt,½ teaspoon sugar,Vegetable cooking oil as needed,1 tablespoon cooking wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese fish soup,1 fresh fish around 300g,"Half of a middle size white radish, finely shredded",4 slices of ginger,1 green onion,½ teaspoon salt or as needed,1 teaspoon cooking wine,2 L cold water or as needed,1 teaspoon cooking oil,Coriander for decorating and garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamed pork with salted egg,200 g ground pork,2 duck salted egg,1 inch root ginger,2 spring onions,2 garlic cloves,2 tablespoons starch,Dash of white pepper powder,2 teaspoons cooking wine,2 teaspoons sesame oil,1 tablespoon water (for boiled salted egg),salt as needed (for boiled salted egg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salted duck egg,10 fresh duck eggs,100ml hard liquor,120g salt,Plastic wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef chow fun,½ pound beef,1 pound wide rice noodle (ho fen),1 small bunch of Chinese chive or scallion; cut into sections around 10cm long,1 small bunch of bean sprouts,"¼ middle size white onion, shredded",1 tablespoon Chinese cooking wine or water,1 teaspoon light soy sauce,½ teaspoon salt,1 tablespoon oyster sauce,1 teaspoon sesame oil,1 tablespoon starch,½ tablespoon light soy sauce,1 teaspoon dark soy sauce,1 tablespoon vegetable oil,½ teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bok choy and mushroom,1 lb bok choy,1 tablespoon vegetable oil,Around 10-12 shitake mushroom-cut flowers on the surface if you like,"3 garlic cloves, finely sliced",¼ teaspoon of cooking oil,½ teaspoon salt,½ tablespoon oyster sauce,2 teaspoons light soy sauce,2 teaspoons cornstarch,½ cup stock or water,1 teaspoon sesame oil,¼ teaspoon salt or as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portuguese egg tart recipe,300g all-purpose flour,6g salt,45g unsalted butter in the dough,150g water,180g unsalted butter,110g whipping cream,75g milk,30g granulated sugar,2 egg yolk,8g condensed milk,8g cake flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pan fried wonton,1 pound wonton wrappers,300g minced pork,"3 green onions, finely chopped","1 small bunch of coriander, finely chopped","1 inch ginger, grated",1 tablespoon light soy sauce,1 egg white,1 teaspoon sesame oil,1 teaspoon salt,"1 green onion, finely chopped",½ tablespoon cooking oil,Roasted black sesame seeds for garnishing,1 or 2 tablespoons water,"1 green onion, finely chopped for garnishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eight treasure congee mixed congee,½ cup glutinous rice,2 tablespoon black rice or any other type you prefer,1 tablespoon peanut,5 Chinese dried red dates,1 tablespoon mung beans,1 tablespoon red beans,1 tablespoon corn flakes,10 dried Longan,½ tablespoon walnut,6-10 cups of water depending on your cooking ware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szechuan fried rice,2 cups leftover rice,½ tablespoon doubanjiang,½ tablespoon light soy sauce,½ teaspoon black vinegar,"2 green onions, finely chopped",2 tablespoons diced carrots,1 tablespoon diced red onion,"1 garlic clove, diced",1 tablespoon vegetable cooking oil,Salt if needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pineapple bun bolo bao recipe,Egg liquid for brushing,300g bread flour,45g granulated sugar,3g salt,4g instant yeast,15g egg liquid,180g milk,25g unsalted butter,100g cake flour,75g unsalted butter,60g powdered sugar,30g egg liquid,10g milk powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese potato pancake,"2 middle size potato, shredded",½ cup of starch (I use sweet potato starch),½ teaspoon salt or as needed,1 pinch of ground black pepper powder,1 teaspoon Chinese five spice powder,Around ½ tablespoon vegetable oil,1 tablespoonHunan Chopped chili sauce,1 teaspoon light soy sauce,1 tablespoon boiled water or stock,½ teaspoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hawthorn jam recipe,1 pound of hawthorn berries,1 cup sugar or more as needed,1 and ½ cup water,½ tablespoon fresh lemon juice,Airtight and clean containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese pumpkin cake,1 pound pumpkin,Red bean paste as needed,½ pound glutinous rice flour or as needed,¾ cup granulated sugar or as needed,Bread crumbs for coating,Oil for frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese mongolian beef,½ pound beef tenderloin,"2 scallions, sliced into sections around 3cm","3 green onions, sliced into sections around 3cm long",2 dried chili pepper; cut into slices and seeds removed (optional),1 inch root ginger; peeled and cut into shreds,1 middle size egg (only egg white needed),½ teaspoon salt,1 teaspoon light soy sauce,½ tablespoon oyster sauce,1 tablespoon cooking wine,1 teaspoon black pepper powder,1 teaspoon starch (corn starch),1 teaspoon sesame oil,2 tablespoons cooking wine,1 teaspoon dark soy sauce,1 /2 teaspoon sugar,1 tablespoon water,1 teaspoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black sesame pastesoup,150g black sesame seeds,130g glutinous rice flour,120g sugar (to taste),6 cups of water (You can adjust the water amount accordingly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homemade noodles,250g high gluten flour (around 1cup+2/3 cup),"120g water (around 120ml, can be replaced by egg liquid partly or completely)",Pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunan pork stir fry,1 lb. pork belly,10 long chili peppers,2 garlic cloves,1 inch root ginger,1 teaspoon salt,½ tablespoon light soy sauce,½ teaspoon dark soy sauce,1 tablespoon cooking wine,2 green onions cut into 5 cm sections,½ tablespoon cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szechuan shrimp spicy crispy shrimp,"1 pound fresh middle size shrimp, deveined",1 cup celery sections,2 tablespoons starch or as needed,"4 ~6 chili peppers, cut into small sections",Several Sichuan peppercorns,"1 inch root ginger, shredded","2 garlic cloves, sliced","3 green onions, white part and green part finely chopped separately",Roasted sesame seeds for garnish,½ cup vegetable cooking oil,½ teaspoon salt,1 tablespoon cooking wine,2 ginger slices,"1 green onion, cut into long sections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lions head chinese meatballs recipe,"1 pound pork, you can choose ground one, pork belly or meat on the leg(the ratio between fat and lean should be around 3:7)","4 water chestnut, peeled and finely diced",1 teaspoon salt,1 tablespoon cooking wine,1 teaspoon minced ginger,"1 teaspoon minced green onion, white part only","2 large eggs, beaten",2 tablespoon starch,Lettuce for presenting and serving,Oil for deep frying,1 tablespoon light soy sauce,1 teaspoon dark soy sauce,1 tablespoon sesame oil,½ tablespoon sugar,1 cup warm water or broth,2 star anises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
