,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
keleyache bhaji,raw bananas,mustard seeds,curry leaves,cooking oil,onion finely chopped,piece ginger (1inch) finely chopped,turmeric powder,asafoetida or hing,jeera seeds or cummins seeds,salt as per taste,green chilli,water,raw bananas,mustard seeds,curry leaves,cooking oil,onion finely chopped,piece ginger (1inch) finely chopped,turmeric powder,asafoetida or hing,jeera seeds or cummins seeds,salt as per taste,green chilli,water,raw bananas,mustard seeds,curry leaves,cooking oil,onion finely chopped,piece ginger (1inch) finely chopped,turmeric powder,asafoetida or hing,jeera seeds or cummins seeds,salt as per taste,green chilli,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rava fried crab,cleaned crabs (without claws),red chili powder,turmeric powder,salt,tamarind paste,rava,oil,water for mixing,cleaned crabs (without claws),red chili powder,turmeric powder,salt,tamarind paste,rava,oil,water for mixing,cleaned crabs (without claws),red chili powder,turmeric powder,salt,tamarind paste,rava,oil,water for mixing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan crab curry,cleaned crabs,thinly sliced onion,grated coconut,oil,salt,turmeric,dry red chilies,corriander seeds,goan garam masala,garlic minced,red chili powder,coconut milk,cleaned crabs,thinly sliced onion,grated coconut,oil,salt,turmeric,dry red chilies,corriander seeds,goan garam masala,garlic minced,red chili powder,coconut milk,cleaned crabs,thinly sliced onion,grated coconut,oil,salt,turmeric,dry red chilies,corriander seeds,goan garam masala,garlic minced,red chili powder,coconut milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paneer bun,paneer,salt,red chili powder,garam masala powder,coriander powder,turmeric,chaat masala,cumin powder,chopped cilantro,maida,kasuri methi,rapid rise yeast,sugar,cumin seeds,olive oil,water,paneer,salt,red chili powder,garam masala powder,coriander powder,turmeric,chaat masala,cumin powder,chopped cilantro,maida,kasuri methi,rapid rise yeast,sugar,cumin seeds,olive oil,water,paneer,salt,red chili powder,garam masala powder,coriander powder,turmeric,chaat masala,cumin powder,chopped cilantro,maida,kasuri methi,rapid rise yeast,sugar,cumin seeds,olive oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drumstick sambar,toor dal,drumstick,oil,mustard seeds,hing,onion,tomato,goose berry sized tamarind,red chilli powder,sambar powder,salt to taste,coriander leaves,sprig of curry leaves,toor dal,drumstick,oil,mustard seeds,hing,onion,tomato,goose berry sized tamarind,red chilli powder,sambar powder,salt to taste,coriander leaves,sprig of curry leaves,toor dal,drumstick,oil,mustard seeds,hing,onion,tomato,goose berry sized tamarind,red chilli powder,sambar powder,salt to taste,coriander leaves,sprig of curry leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red pumpkin sweet poori,red pumpkin,whole wheat flour,rice flour,jaggery,salt to taste,refined oil for deep frying,pure ghee,red pumpkin,whole wheat flour,rice flour,jaggery,salt to taste,refined oil for deep frying,pure ghee,red pumpkin,whole wheat flour,rice flour,jaggery,salt to taste,refined oil for deep frying,pure ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarsonwale aloo,large potatoes,salt,red chili powder,mustard seeds,mustard oil,curry leaves,asafetida,large potatoes,salt,red chili powder,mustard seeds,mustard oil,curry leaves,asafetida,large potatoes,salt,red chili powder,mustard seeds,mustard oil,curry leaves,asafetida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chana chaat,"chick peas (green, black or white)",salt,large tomato,large onion,red chili powder,chaat masala powder,lemon juice,cilantro/ coriander leaves,"chick peas (green, black or white)",salt,large tomato,large onion,red chili powder,chaat masala powder,lemon juice,cilantro/ coriander leaves,"chick peas (green, black or white)",salt,large tomato,large onion,red chili powder,chaat masala powder,lemon juice,cilantro/ coriander leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
godhachi chapati,wheat flour,water,salt,coconut jaggery/ sugar,ghee,wheat flour,water,salt,coconut jaggery/ sugar,ghee,wheat flour,water,salt,coconut jaggery/ sugar,ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coconut modak,maida,dry dessicated coconut,sugar,poppy seeds,mixed dry fruits,water,salt,maida,dry dessicated coconut,sugar,poppy seeds,mixed dry fruits,water,salt,maida,dry dessicated coconut,sugar,poppy seeds,mixed dry fruits,water,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tendli masala,ivy gourd/ tendli,coconut,oil,garam masala,coriander powder,turmeric powder,ghee,asafetida,mustard seeds,whole green chilies,jaggery,curry leaves,salt,ivy gourd/ tendli,coconut,oil,garam masala,coriander powder,turmeric powder,ghee,asafetida,mustard seeds,whole green chilies,jaggery,curry leaves,salt,ivy gourd/ tendli,coconut,oil,garam masala,coriander powder,turmeric powder,ghee,asafetida,mustard seeds,whole green chilies,jaggery,curry leaves,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chanya ros,vatana,coconut,oil,garam masala,coriander powder,turmeric powder,ghee,asafetida,ghee,mustard seeds,whole green chilies,salt,red chili powder,curry leaves,jaggery,potato,tomato,cup chopped coriander leaves,vatana,coconut,oil,garam masala,coriander powder,turmeric powder,ghee,asafetida,ghee,mustard seeds,whole green chilies,salt,red chili powder,curry leaves,jaggery,potato,tomato,cup chopped coriander leaves,vatana,coconut,oil,garam masala,coriander powder,turmeric powder,ghee,asafetida,ghee,mustard seeds,whole green chilies,salt,red chili powder,curry leaves,jaggery,potato,tomato,cup chopped coriander leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methi,methi,milk,sugar,methi,milk,sugar,methi,milk,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamb chops,lamb chops,strings of rosemary,orange,lemon,salt,chopped garlic,dried/ fresh mint,olive or avacado oil,sumac,black pepper powder,lamb chops,strings of rosemary,orange,lemon,salt,chopped garlic,dried/ fresh mint,olive or avacado oil,sumac,black pepper powder,lamb chops,strings of rosemary,orange,lemon,salt,chopped garlic,dried/ fresh mint,olive or avacado oil,sumac,black pepper powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bondi bhaji,banana flower,onion,tomato,garam masala,grated coconut,moong dal,medium piece of ginger chop fine,garlic chopped fine,cooking oil,salt as per taste,jeera or cummin,dhania or 1.2 teaspoon dhania orcorainder  powder,peppercorn,banana flower,onion,tomato,garam masala,grated coconut,moong dal,medium piece of ginger chop fine,garlic chopped fine,cooking oil,salt as per taste,jeera or cummin,dhania or 1.2 teaspoon dhania orcorainder  powder,peppercorn,banana flower,onion,tomato,garam masala,grated coconut,moong dal,medium piece of ginger chop fine,garlic chopped fine,cooking oil,salt as per taste,jeera or cummin,dhania or 1.2 teaspoon dhania orcorainder  powder,peppercorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palak rice,spinach,rice,whole cardamom,cinnamon stick,cumin seeds,salt,cloves,ginger garlic paste,ghee,turmeric,cumin powder,coriander powder,red chili powder,garam masala powder,cashews,raisins,fried onion for garnishing,tamarind paste,spinach,rice,whole cardamom,cinnamon stick,cumin seeds,salt,cloves,ginger garlic paste,ghee,turmeric,cumin powder,coriander powder,red chili powder,garam masala powder,cashews,raisins,fried onion for garnishing,tamarind paste,spinach,rice,whole cardamom,cinnamon stick,cumin seeds,salt,cloves,ginger garlic paste,ghee,turmeric,cumin powder,coriander powder,red chili powder,garam masala powder,cashews,raisins,fried onion for garnishing,tamarind paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled onions,pearl onions or shallots,whole pepper corns,bay leaves,water,vinegar,salt,sugar,dried red chili- crushed,pearl onions or shallots,whole pepper corns,bay leaves,water,vinegar,salt,sugar,dried red chili- crushed,pearl onions or shallots,whole pepper corns,bay leaves,water,vinegar,salt,sugar,dried red chili- crushed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiced carrot cake,grated carrots,chopped dates,maida or all purpose flour,sodium bicarbonate,eggs,powdered sugar,nutmeg,refined oil or vegetable oil,vanilla essence,"clove, cinnamon and cardamon powder","mixed nuts almonds, pistachios, walnut, pecans (optional)",grated carrots,chopped dates,maida or all purpose flour,sodium bicarbonate,eggs,powdered sugar,nutmeg,refined oil or vegetable oil,vanilla essence,"clove, cinnamon and cardamon powder","mixed nuts almonds, pistachios, walnut, pecans (optional)",grated carrots,chopped dates,maida or all purpose flour,sodium bicarbonate,eggs,powdered sugar,nutmeg,refined oil or vegetable oil,vanilla essence,"clove, cinnamon and cardamon powder","mixed nuts almonds, pistachios, walnut, pecans (optional)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spanish rice,rice,bell pepper,onion(medium),tomato(medium),olive oil,water or stock(vegetable/chicken),red chilli powder,salt to taste,rice,bell pepper,onion(medium),tomato(medium),olive oil,water or stock(vegetable/chicken),red chilli powder,salt to taste,rice,bell pepper,onion(medium),tomato(medium),olive oil,water or stock(vegetable/chicken),red chilli powder,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mulyache suken,daikon radish,water,onion(medium),tomato,hing or asafoetida,kokum,coconut (grated - fresh/frozen),turmeric,green chilli,salt to taste,oil,coriander,daikon radish,water,onion(medium),tomato,hing or asafoetida,kokum,coconut (grated - fresh/frozen),turmeric,green chilli,salt to taste,oil,coriander,daikon radish,water,onion(medium),tomato,hing or asafoetida,kokum,coconut (grated - fresh/frozen),turmeric,green chilli,salt to taste,oil,coriander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chanya daalichi usal,chana daal,green chillies,lemon juice,sugar,salt to taste,sprig curry leaves,ghee,mustard seeds,hing/asafoetida,turmeric powder,chopped coriander leaves,chana daal,green chillies,lemon juice,sugar,salt to taste,sprig curry leaves,ghee,mustard seeds,hing/asafoetida,turmeric powder,chopped coriander leaves,chana daal,green chillies,lemon juice,sugar,salt to taste,sprig curry leaves,ghee,mustard seeds,hing/asafoetida,turmeric powder,chopped coriander leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red pumpkin curry,red pumpkin,jaggery,salt to taste,refined oil,garam masla,dry grated coconut,crushed garlic,poppy seeds or khus khus,coriander leaves,red chilli powder,mustard seeds,cumin seeds or jeera,asafetida,turmeric powder,water,red pumpkin,jaggery,salt to taste,refined oil,garam masla,dry grated coconut,crushed garlic,poppy seeds or khus khus,coriander leaves,red chilli powder,mustard seeds,cumin seeds or jeera,asafetida,turmeric powder,water,red pumpkin,jaggery,salt to taste,refined oil,garam masla,dry grated coconut,crushed garlic,poppy seeds or khus khus,coriander leaves,red chilli powder,mustard seeds,cumin seeds or jeera,asafetida,turmeric powder,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rava kesari,sooji/semolina/rava,sugar,rose syrup(optional-you can use food color or other flavorings),ghee,cashew nuts,raisins,cardamom powder,milk/cream,sooji/semolina/rava,sugar,rose syrup(optional-you can use food color or other flavorings),ghee,cashew nuts,raisins,cardamom powder,milk/cream,sooji/semolina/rava,sugar,rose syrup(optional-you can use food color or other flavorings),ghee,cashew nuts,raisins,cardamom powder,milk/cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sakar bhaat,rice,sugar,cardamom,ghee,cashews,water,kesar,milk,rice,sugar,cardamom,ghee,cashews,water,kesar,milk,rice,sugar,cardamom,ghee,cashews,water,kesar,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spaghetti squash with lobster in a coconut sauce,medium sized spaghetti squash,olive oil,salt,black pepper powder,red chili flakes,salted butter,minced garlic,finely chopped bell pepper (any color of your choice),coconut milk,lobster meat/ shrimps,large tomato pureed,basil for garnish,cheese cube,medium sized spaghetti squash,olive oil,salt,black pepper powder,red chili flakes,salted butter,minced garlic,finely chopped bell pepper (any color of your choice),coconut milk,lobster meat/ shrimps,large tomato pureed,basil for garnish,cheese cube,medium sized spaghetti squash,olive oil,salt,black pepper powder,red chili flakes,salted butter,minced garlic,finely chopped bell pepper (any color of your choice),coconut milk,lobster meat/ shrimps,large tomato pureed,basil for garnish,cheese cube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hash browns,large potatoes,salt,black pepper powder,olive oil,large potatoes,salt,black pepper powder,olive oil,large potatoes,salt,black pepper powder,olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soy honey glazed grilled chicken,chicken thighs,soy sauce,red chili sauce,vinegar,honey,salt,pepper powder,sesame seeds,oil,chicken thighs,soy sauce,red chili sauce,vinegar,honey,salt,pepper powder,sesame seeds,oil,chicken thighs,soy sauce,red chili sauce,vinegar,honey,salt,pepper powder,sesame seeds,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bharille vaingey,eggplant,garam masala,jaggery,jeera,coriander seeds,ball of tamarind,sesame seeds,clove,pepper,star anise,peanuts,grated coconut (fresh or frozen),salt,water,oil,eggplant,garam masala,jaggery,jeera,coriander seeds,ball of tamarind,sesame seeds,clove,pepper,star anise,peanuts,grated coconut (fresh or frozen),salt,water,oil,eggplant,garam masala,jaggery,jeera,coriander seeds,ball of tamarind,sesame seeds,clove,pepper,star anise,peanuts,grated coconut (fresh or frozen),salt,water,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhatt coconut,rawa or semolina,coconut flakes,sugar,butter,milk,salt to taste,baking powder,eggs,vanilla essence,rawa or semolina,coconut flakes,sugar,butter,milk,salt to taste,baking powder,eggs,vanilla essence,rawa or semolina,coconut flakes,sugar,butter,milk,salt to taste,baking powder,eggs,vanilla essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaarappoosa,besan/chickpea flour,rice flour,salt,red chili powder,carrom seeds/ajwain/vamu,hing,oil for frying,hot oil,besan/chickpea flour,rice flour,salt,red chili powder,carrom seeds/ajwain/vamu,hing,oil for frying,hot oil,besan/chickpea flour,rice flour,salt,red chili powder,carrom seeds/ajwain/vamu,hing,oil for frying,hot oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortbread cookies,butter,sugar(add more for sweeter cookies),all purpose flour,vanilla essence,salt,butter,sugar(add more for sweeter cookies),all purpose flour,vanilla essence,salt,butter,sugar(add more for sweeter cookies),all purpose flour,vanilla essence,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goa sausages choris,"pork meat with fat (shoulder/belly), no skin.",coarse/sea salt,lemon juice,goa or red wine vinegar,kashmiri chilies,garlic,ginger,cumin,turmeric,cloves,cinnamon,"pork meat with fat (shoulder/belly), no skin.",coarse/sea salt,lemon juice,goa or red wine vinegar,kashmiri chilies,garlic,ginger,cumin,turmeric,cloves,cinnamon,"pork meat with fat (shoulder/belly), no skin.",coarse/sea salt,lemon juice,goa or red wine vinegar,kashmiri chilies,garlic,ginger,cumin,turmeric,cloves,cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan keema curry,ground beef,onions (medium),potatoes,tomato (chopped),green peas,ginger/garlic paste,coriander powder,turmeric,garam masala,all spice,cumin,chicken or beef stock,vinegar,coriander or parsley for garnish,ground beef,onions (medium),potatoes,tomato (chopped),green peas,ginger/garlic paste,coriander powder,turmeric,garam masala,all spice,cumin,chicken or beef stock,vinegar,coriander or parsley for garnish,ground beef,onions (medium),potatoes,tomato (chopped),green peas,ginger/garlic paste,coriander powder,turmeric,garam masala,all spice,cumin,chicken or beef stock,vinegar,coriander or parsley for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home made bread,all purpose flour,yeast,sugar,salt,butter or olive oil,water,all purpose flour,yeast,sugar,salt,butter or olive oil,water,all purpose flour,yeast,sugar,salt,butter or olive oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan pork sorpotel,pork meat with fat (shoulder/belly),pork liver,red wine or malt vinegar,red chilies,ginger,garlic,turmeric,cumin seeds,peppercorns,cloves,cinnamon,tamarind pulp,coconut jaggery,sugar,onions,pork meat with fat (shoulder/belly),pork liver,red wine or malt vinegar,red chilies,ginger,garlic,turmeric,cumin seeds,peppercorns,cloves,cinnamon,tamarind pulp,coconut jaggery,sugar,onions,pork meat with fat (shoulder/belly),pork liver,red wine or malt vinegar,red chilies,ginger,garlic,turmeric,cumin seeds,peppercorns,cloves,cinnamon,tamarind pulp,coconut jaggery,sugar,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tilache laadoo,peanuts,sesame seeds(til),jaggery(grated),water,peanuts,sesame seeds(til),jaggery(grated),water,peanuts,sesame seeds(til),jaggery(grated),water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan tantiam koddi egg curry,eggs,red chilies,garlic,coriander seeds,turmeric,mustard seeds,cumin,desiccated coconut,onion,tamarind concentrate,chicken stock,coconut milk,coriander for garnish,eggs,red chilies,garlic,coriander seeds,turmeric,mustard seeds,cumin,desiccated coconut,onion,tamarind concentrate,chicken stock,coconut milk,coriander for garnish,eggs,red chilies,garlic,coriander seeds,turmeric,mustard seeds,cumin,desiccated coconut,onion,tamarind concentrate,chicken stock,coconut milk,coriander for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alsande black eyed peas,black eyed peas,onions (medium size),desiccated coconut,kashmiri chilies,cumin seeds,coriander seeds,turmeric,cloves,peppercorn,aniseed,curry leaves,garlic flakes,potatoes (medium),coriander for garnish.,salt to taste.,black eyed peas,onions (medium size),desiccated coconut,kashmiri chilies,cumin seeds,coriander seeds,turmeric,cloves,peppercorn,aniseed,curry leaves,garlic flakes,potatoes (medium),coriander for garnish.,salt to taste.,black eyed peas,onions (medium size),desiccated coconut,kashmiri chilies,cumin seeds,coriander seeds,turmeric,cloves,peppercorn,aniseed,curry leaves,garlic flakes,potatoes (medium),coriander for garnish.,salt to taste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage with coconut and spices,cabbage (medium),onion,cumin,ginger/garlic paste,coriander powder,chili powder,turmeric powder,desiccated coconut,stock or salt to taste,green chili (optional),cabbage (medium),onion,cumin,ginger/garlic paste,coriander powder,chili powder,turmeric powder,desiccated coconut,stock or salt to taste,green chili (optional),cabbage (medium),onion,cumin,ginger/garlic paste,coriander powder,chili powder,turmeric powder,desiccated coconut,stock or salt to taste,green chili (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaingem brinjal,"brinjal (small) , cut in quarters.",onion,tomato (chopped),garam masala,vinegar (white or malt),sugar,salt to taste.,"brinjal (small) , cut in quarters.",onion,tomato (chopped),garam masala,vinegar (white or malt),sugar,salt to taste.,"brinjal (small) , cut in quarters.",onion,tomato (chopped),garam masala,vinegar (white or malt),sugar,salt to taste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan pork vindalho,pork,red chilies,cumin seeds,mustard,turmeric,cardamom,cloves,ginger,garlic flakes,malt vinegar,onion,chicken or beef stock,pork,red chilies,cumin seeds,mustard,turmeric,cardamom,cloves,ginger,garlic flakes,malt vinegar,onion,chicken or beef stock,pork,red chilies,cumin seeds,mustard,turmeric,cardamom,cloves,ginger,garlic flakes,malt vinegar,onion,chicken or beef stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan pork balchao,pork,red chilies,turmeric,cumin,peppercorn,garlic flakes,cinnamon,ginger,malt vinegar,onions,caju fenny,balchao preserve,pork,red chilies,turmeric,cumin,peppercorn,garlic flakes,cinnamon,ginger,malt vinegar,onions,caju fenny,balchao preserve,pork,red chilies,turmeric,cumin,peppercorn,garlic flakes,cinnamon,ginger,malt vinegar,onions,caju fenny,balchao preserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan beef chilli fry,beef,cinnamon,cloves,cumin powder,turmeric powder,pepper,ginger/garlic paste,coriander (cilantro) bunch,green chilies,tamarind concentrate,onion,"thai red chilies, or green if you prefer.",curry leaves,tomatoes (diced),potatoes (small cubes),salt to taste.,beef,cinnamon,cloves,cumin powder,turmeric powder,pepper,ginger/garlic paste,coriander (cilantro) bunch,green chilies,tamarind concentrate,onion,"thai red chilies, or green if you prefer.",curry leaves,tomatoes (diced),potatoes (small cubes),salt to taste.,beef,cinnamon,cloves,cumin powder,turmeric powder,pepper,ginger/garlic paste,coriander (cilantro) bunch,green chilies,tamarind concentrate,onion,"thai red chilies, or green if you prefer.",curry leaves,tomatoes (diced),potatoes (small cubes),salt to taste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan shrimp chilli fry,shrimp,ginger/garlic paste,turmeric powder,onion,green chilies,coriander powder,garam masala,tomatoes (chopped),white vinegar and salt to taste.,shrimp,ginger/garlic paste,turmeric powder,onion,green chilies,coriander powder,garam masala,tomatoes (chopped),white vinegar and salt to taste.,shrimp,ginger/garlic paste,turmeric powder,onion,green chilies,coriander powder,garam masala,tomatoes (chopped),white vinegar and salt to taste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
injera,teff flour,water,salt,yeast,oil for frying,teff flour,water,salt,yeast,oil for frying,teff flour,water,salt,yeast,oil for frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moong bhakri,moong,rice flour,chopped onion,chopped green chilies,tablespoon salt,oil for frying,moong,rice flour,chopped onion,chopped green chilies,tablespoon salt,oil for frying,moong,rice flour,chopped onion,chopped green chilies,tablespoon salt,oil for frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirsaanga ros   chilly curry,green chilies,fresh grated coconut,turmeric,sugar,salt,oil,mustard seeds,asafetida,curry leaves,water,inch tamarind,green chilies,fresh grated coconut,turmeric,sugar,salt,oil,mustard seeds,asafetida,curry leaves,water,inch tamarind,green chilies,fresh grated coconut,turmeric,sugar,salt,oil,mustard seeds,asafetida,curry leaves,water,inch tamarind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan inspired capsicum chicken,chicken thighs,capsicums or bell peppers,large onions,green chilies,ginger garlic paste,curry leaves,finely chopped garlic,turmeric,salt,toddy vinegar,soya sauce,tomatoes,garam masala powder,oil,palm jaggery (inch),chicken thighs,capsicums or bell peppers,large onions,green chilies,ginger garlic paste,curry leaves,finely chopped garlic,turmeric,salt,toddy vinegar,soya sauce,tomatoes,garam masala powder,oil,palm jaggery (inch),chicken thighs,capsicums or bell peppers,large onions,green chilies,ginger garlic paste,curry leaves,finely chopped garlic,turmeric,salt,toddy vinegar,soya sauce,tomatoes,garam masala powder,oil,palm jaggery (inch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sungta sukke,prawns cleaned,chopped onion,grated coconut,salt,turmeric,kashmiri chili powder,kokum pieces,green chilies,raw mango pieces (optional),chopped coriander leaves,prawns cleaned,chopped onion,grated coconut,salt,turmeric,kashmiri chili powder,kokum pieces,green chilies,raw mango pieces (optional),chopped coriander leaves,prawns cleaned,chopped onion,grated coconut,salt,turmeric,kashmiri chili powder,kokum pieces,green chilies,raw mango pieces (optional),chopped coriander leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vodiya ros,grated coconut,whole kashmiri chilies,turmeric,water,vodyo,oil for frying,jaggery powder,salt,grated coconut,whole kashmiri chilies,turmeric,water,vodyo,oil for frying,jaggery powder,salt,grated coconut,whole kashmiri chilies,turmeric,water,vodyo,oil for frying,jaggery powder,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galmo baby shrimp chilli fry,dried galmo (baby shrimp),medium sized onions,desiccated coconut,potatoes (cut in small cubes),chilies,garlic cloves (cut in slices),kokum,coriander (finely chopped),cumin seeds,turmeric,chili powder,coriander powder,garam masala,salt to taste,dried galmo (baby shrimp),medium sized onions,desiccated coconut,potatoes (cut in small cubes),chilies,garlic cloves (cut in slices),kokum,coriander (finely chopped),cumin seeds,turmeric,chili powder,coriander powder,garam masala,salt to taste,dried galmo (baby shrimp),medium sized onions,desiccated coconut,potatoes (cut in small cubes),chilies,garlic cloves (cut in slices),kokum,coriander (finely chopped),cumin seeds,turmeric,chili powder,coriander powder,garam masala,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
