,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Rava Bhakri,2  medium sized bowls semolina (rava),1  bowl of freshly grated coconut,"1  "" piece of ginger (adrak), chopped","4 green chillies, chopped",1 tsp sugar, salt to taste, ghee to fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati Dal,2 cups toovar (arhar) dal,1 cup chopped yam (suran),2 tbsp peanuts,2 dry dates (kharek) (optional),"8 pcs  of kokum, soaked","1 tomato , chopped",50 gms jaggery (gur),1/2 tbsp lemon juice,"1 pc ginger (adrak), chopped","4 green chillies , slit",1/2 tsp chilli powder,1/2 tsp turmeric powder (haldi),1/4 tsp mustard seeds ( rai / sarson),1/4 tsp cumin seeds (jeera),1/4 tsp fenugreek (methi) leaves,10 to 12 curry leaves (kadi patta),2 cloves (laung / lavang),2  sticks cinnamon (dalchini),1 bayleaf (tejpatta),2  small round red chillies (boriya mirchi),1/2 tsp asafoetida (hing),2 tbsp ghee,1 tbsp oil, salt to taste,4 tbsp chopped coriander (dhania),,,,,,,,,,,,,
Mix Vegetable Khichdi,2 cups soaked long grained rice (basmati),"3 cups yellow moong dal (split yellow gram) , soaked","2 potatoes , chopped",1/4 cup green peas,"1 carrot , chopped","3 green chillies , chopped","2 spring onions , chopped",1 tsp grated ginger (adrak),"2 garlic (lehsun) cloves , chopped",4 to 5 cloves (laung / lavang),1 bayleaf (tejpatta),1 tsp turmeric powder (haldi),2 tsp coriander-cumin seeds (dhania-jeera) powder, a pinch of asafoetida (hing),1 tbsp ghee,1 tsp mustard seeds ( rai / sarson),1 tsp cumin seeds (jeera), salt to taste,,,,,,,,,,,,,,,,,,,,
Easy Moong Dal Khandvi,1/2 cup soaked yellow moong dal (split yellow gram),1/2 cup curds (dahi),1 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi),1/4 tsp asafoetida (hing), salt to taste,1 tsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing),2 tbsp coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Bhat  By Hpatel7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato Sheera,1 cup milk,6 tbsp ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagoo Icecream,1/2 cup cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watermelon Sheera,  white part of watermelon [grated],1/2 cup sugar,4 cardamoms (elaichi),"1/2 cup cashewnuts (kaju), raisins (kismis), almonds (badam)", milk as required,2 tbsp ghee,1  pinch saffron (kesar) strands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handvoh (vegetable Bake Dish),1 cup rice flour (chawal ka atta),1 cup yellow moong dal (split yellow gram) flour,1  medium bottle gourd (doodhi / lauki),2  medium carrots,2 tbsp corn (makai ke dane),3 tbsp chopped coriander (dhania),3 to 4 green chillies,3 cups buttermilk,3/4 tsp soda bi carb,1 tsp urad dal (split black lentils),1 tsp chana dal (split Bengal gram),1/2 tsp cumin seeds (jeera),1/2 tsp mustard seeds ( rai / sarson),2 tbsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,
Sabudana Upma,2 cups sago (sabudana),1 cup peanuts,2 cups  water,1 tsp chilli powder,1  pinch asafoetida (hing),1/4 tsp mustard seeds ( rai / sarson),  a few curry leaves (kadi patta),4 tsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajgira Thalipith  By karna36,2  boiled potatoes (smashed - Don't make paste.),1 cup rajgira flour,1/2 tsp dried mango powder (amchur),1 tsp lemon juice,1/2 tsp crushed ginger (adrak),1/2 tsp green chilli paste,1/2 tsp chilli powder, salt to taste,1/4 tsp cumin seeds (jeera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saaboodana na Wada, sago (sabudana), potatoes, crushed peanuts, ginger-green chilli paste, salt, lemon juice, oil for deep frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaman Dhokla  By Mushu,2 cups besan (bengal gram flour),"2 green chillies , chopped",2 tbsp sugar, salt to taste,5 to 6 curry leaves (kadi patta),1 tsp citric acid (nimbu ka phool),1 tsp baking soda,1/4 cup freshly grated coconut,1/4 cup chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aam Panna,500 gms raw mango, sugar to taste, black salt (sanchal) to taste,1/2 tsp cumin seeds (jeera) powder, few mint leaves (phudina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabudana and Potato Tikki,100 gms sago (sabudana),5 to 6 medium sized potatoes,1  small piece of ginger (adrak),6 to 7 green chillies," a small bunch of coriander (dhania), chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puran Poli,1  vati chana dal (split Bengal gram),1/2  vati jaggery (gur),1/2  vati sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methi na Thepala,1 cup whole wheat flour (gehun ka atta),3/4 cup besan (Bengal gram flour),1 tsp chilli powder,1/2 cup curds (dahi),1 cup chopped fenugreek (methi),3 tbsp ghee,3 tbsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajgira Thalipith  By guptagauri,"2  boiled potatoes, (smashed - don't make paste.)",1 cup rajgira flour,1/2 tsp dried mango powder (amchur),1 tsp lemon juice,1/2 tsp crushed ginger (adrak),1/2 tsp green chilli paste,1/2 tsp chilli powder, salt to taste,1/4 tsp cumin seeds (jeera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moong Daal Khandvi,3/4 cup besan (bengal gram flour),3/4 cup fresh curds (dahi),2 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi), a pinch of asafoetida (hing), salt to taste,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),1/2 tsp asafoetida (hing),3 to 4 curry leaves (kadi patta),4 whole dry kashmiri red chillies,2 tbsp oil,2 tbsp grated coconut,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,
Instant Moong,250 gms moong (whole green gram), oil for cooking,1 tbsp cumin seeds (jeera),2 tbsp finely chopped garlic (lehsun),1 tbsp grated ginger (adrak),"6 to 7 green chillies , finely chopped",2 tsp turmeric powder (haldi),1 tsp chilli powder, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nankhatais,1 kg plain flour (maida),1/2 kg powdered sugar,1/2 ltr oil,1/2 tsp baking soda,1/2 cup powdered almonds (badam),1 tsp cardamom (elaichi) powder,1 tbsp besan (Bengal gram flour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methi Bhaath,2 cups cooked rice,4 cups chopped fenugreek (methi) leaves,"4 to 5 green chillies , finely chopped",3 tsp lemon juice,2 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/4 tsp chana dal (split bengal gram),1/4 tsp urad dal (split black lentils),1/4 tsp turmeric powder (haldi), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabudana Upuma,1 cup sago (sabudana),2  medium potatoes,1/4 cup peanuts,3 green chillies,1 pc ginger (adrak), coriander (dhania) and curry leaves (kadi patta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thandi Chhas,500 gms curds (dahi), salt to taste, black salt (sanchal), black peppercorns (kalimirch),4 to 5 curry leaves (kadi patta),1 tsp cumin seeds (jeera),1 tbsp ghee,1 green chilli, coriander (dhania) leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soya Thepla,1/4 cup fenugreek (methi) leaves,1/4 cup soya milk,  water to knead dough, salt to taste,1 tsp chilli powder,1 tsp carom seeds (ajwain),2 tsp oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panki,2 cups rice flour (chawal ka atta),1 cup buttermilk,2 tsp margarine,1 tsp green chilli paste,2 tbsp chopped coriander (dhania), salt to taste, oil for cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theplas,1 cup finely chopped fenugreek (methi) and soaked in salted waterfor 1/2 an hour,2 cups whole wheat flour (gehun ka atta),2 tsp besan (Bengal gram flour),1/2 tsp salt,1/2 tsp chilli powder,1/2 tsp cumin seeds (jeera) powder,1/2 tsp oil, oil for preparing theplas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saur Cream Shrikhand,2  lbs Sour Cream or hung curds (dahi),1/2 tsp saffron (kesar) strands, sugar to taste  (also depands on sourness of Sour Cream),"2  8 oz. cans of mixfruits, strained.",1 1/2 cups mixed nuts,1 tbsp milk (to soke kesar),4 tbsp cardamom (elaichi) powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alu Bhat,1/2 cup chopped mint leaves (phudina),3 tsp chopped green chillies,1/2 cup chopped coriander (dhania) leaves,2 tsp ginger (adrak),1/2 cup dessicated coconut,2 cups chopped potatoes,3 tbsp oil,6 cloves (laung / lavang),6 cinnamon (dalchini) sticks,2 tsp turmeric powder (haldi),4 cups cooked rice (chawal),2 tsp lemon juice, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,
Sour Cream Shrikhand,"1  16oz can of sour cream (available in the dairy aisle, can use lowfat or whole milk sour cream)",5 tbsp sugar or to taste,  few saffron (kesar) strands soaked in a 2 tbsp warm milk for about half hour,"1 1/2 tbsp chopped mixed nuts (almonds, cashews)",1/2 tsp cardamom (elaichi) powder, canned pineapple slices (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy Kadhi,2 cups curds (dahi),2 tbsp besan (bengal gram flour),1 tbsp ghee for tempering,1/2 cup potato cubes,1/2 cup chopped onions,1/4 cup carrot cubes,1/4 cup diced beetroot,1/4 cup red pumpkin (bhopla / kaddu)  cubes,1 diced zucchini,1 cup chopped spinach (palak),1 cup chopped arugula,1 cup chopped collard,1 cup chopped kale,1 cup chopped chard,1 cup green peas,1 cup soyabeans,1 cup chopped french beans,1 cup chopped leek,1 cup chopped cabbage,1 cup broccoli florets,1 cup cauliflower florets,2 tsp ginger-garlic (adrak-lehsun) paste,2 tbsp coconut paste, salt to taste, brown sugar to taste,1 tbsp garam masala,1 tbsp coriander (dhania) powder,1 tsp chilli powder,4 cloves (laung / lavang),1 tsp mustard seeds ( rai / sarson),,,,,,,,
Faraali Sevpuri,10 to 15 potato wafers,2 boiled and mashed potatoes,1/4 cup green chutney,  1/4 cup meethi chutney, sev for sprinkling, chopped coriander (dhania) for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methi Papad Sabji with Khakhra,"12 papad , cut into small pieces",1 cup fenugreek (methi) seeds,3 tbsp oil,1 tsp cumin seeds (jeera),1 cup fenugreek (methi) seeds,1 tsp cumin seeds (jeera),2 chopped tomatoes,1/2 cup curds (dahi),2 tsp ginger-green chilli paste,1/2 cup chopped coriander (dhania), salt to taste, chilli powder to taste,1 tsp turmeric powder (haldi),1 cup sprouted wheat (gehun),1 cup sprouted moong (whole green gram),50 gms curds (dahi),2 tsp oil,2 tbsp besan (bengal gram flour),1 tsp cumin seeds (jeera), salt to taste,,,,,,,,,,,,,,,,,,
Shrikhand,1 kg  thick curd (dahi),3/4 cup powdered sugar,  a few strands of saffron (kesar) strands,1 tbsp warm milk,2 tsp cardamom (elaichi) powder, almond (badam) slivers and pistachio slivers for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oondhiya and Muthia ( A Gujrati Delight),100 gms potatoes,100 gms surti papdi (fresh vaal),100 gms green peas,100 gms brinjal (baingan / eggplant),"2 raw bananas , chopped","2 sweet potatoes , peeled and chopped","1/2 coconut , grated","1 small purple yam (kand) , chopped",1 tsp ginger (adrak) paste,1 tsp green chilli paste,1/2 tsp chilli powder,3 tsp coriander (dhania) powder,1/2 tsp turmeric powder (haldi),1/2 tsp sugar,6 tsp oil,1 pinch of asafoetida (hing),1 tsp carom seeds (ajwain) or,1/2 tsp baking soda, salt to taste,1 cup besan (bengal gram flour),2 cups fenugreek (methi) leaves,1/2 tsp ginger (adrak) paste,1/2 tsp green chilli paste,1/4 tsp chilli powder,1/2 tsp coriander (dhania) powder,1/4 tsp turmeric powder (haldi),1 tbsp curds (dahi),1/2 tsp sugar,1 tbsp oil,,,,,,,,,
Muthia,3 cups spinach (palak),1 1/2 cups chopped fenugreek (methi) leaves,1 tsp ginger-green chilli paste,2 tbsp whole wheat flour (gehun ka atta),1 tbsp besan (bengal gram flour),1 tbsp semolina (rava),1/2 tsp cumin seeds (jeera), a pinch of baking soda,2 tsp sugar,1 tbsp lemon juice,1 tbsp oil, salt to taste,1 tsp sesame seeds (til),1/4 tsp asafoetida (hing),1 tbsp oil,,,,,,,,,,,,,,,,,,,,,,,
Shankerpali,6 tbsp whole wheat flour (gehun ka atta),4 tbsp plain flour (maida),2 tbsp sugar,1 tsp butter, oil to deep fry, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Khandvi with Moong Dal,1/2 cup soaked moong dal (split  green gram),1/2 cup curds (dahi),1 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi),1/4 tsp asafoetida (hing), salt to taste,1 tsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing),2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Rava Handwa,1 cup semolina (rava), buttermilk,3 chopped green chillies,1/4 tsp baking soda,1 tsp cumin seeds (jeera),1 tsp mustard seeds ( rai / sarson), salt to taste,1/2 cup finely chopped mixed vegetables  (optional),4 tbsp oil,2 tbsp grated coconut,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiwala Mirchi,1/2 kg thick green chillies  (bhavnagari I331),3/4 cup black salt (sanchal),3/4 cup mustard (rai / sarson) powder,1/2 tsp asafoetida (hing),1 tsp turmeric powder (haldi),2 tbsp lemon juice,2 tbsp oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phulka,2/3 cup whole wheat flour (gehun ka atta),1/2 tsp salt,2 tsp oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gul Papdi,1 cup whole wheat flour (gehun ka atta),1 cup jaggery (gur),1 tsp poppy seeds (khus-khus),1 tsp cardamom (elaichi) powder,1 tsp dessicated coconut (optional),5 tbsp ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudina Pulao,2 cups rice (chawal),2 cups mint leaves (phudina),1/4 cup curds (dahi),2 ginger (adrak),3 red chillies,1/2 cup grated coconut,10 black peppercorns (kalimirch), salt to taste,2 tbsp ghee,2 tsp peanuts,1 tsp chana dal (split bengal gram),5 curry leaves (kadi patta),1 tsp mustard seeds ( rai / sarson),3 cloves (laung / lavang),2 cardamoms,1 tsp cumin seeds (jeera),2 tsp lemon juice,,,,,,,,,,,,,,,,,,,,,
Yam Kebabs,1 cup yam (suran),1 cup chana dal (split bengal gram),3 tsp peanuts,6 red chillies, salt to taste,1/4 cup curry leaves (kadi patta)," 2"" ginger (adrak)",2 tbsp rice flour (chawal ka atta),1/4 cup chopped coriander (dhania),1/4 cup chopped mint leaves (phudina) leaves,1 tsp chaat masala,1 cup bread crumbs, oil for frying,,,,,,,,,,,,,,,,,,,,,,,,,
Carrot Kheer,500 gms carrot,1 ltr milk,1 cup sugar,10 blanched and sliced almonds (badam),2 tsp cardamom (elaichi) powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn Tomato Bharta,2 tomatoes,1 corn cob,2 tbsp oil,1/2 tsp cumin seeds (jeera),1 1/2 tbsp chopped garlic (lehsun),1/2 tsp chopped green chillies,1/2 tsp chopped ginger (adrak),2 tbsp chopped onions,1/2 tsp chilli powder,1/2 tsp turmeric powder (haldi),1 tsp coriander-cumin seeds (dhania-jeera) powder,1/2 tsp garam masala, salt to taste,2 tsp butter,1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,
Ponk-ratalu Pattice,4 large potatoes,1 medium sweet potato (shakarkand), salt to taste, corn (makai ke dane) flour for rolling, oil for cooking,1 cup ponk,1/4 cup chopped coriander (dhania),1/4 cup grated coconut,1/2 tbsp ginger (adrak) paste,1/2 tbsp green chilli paste,1 tbsp chopped green garlic (hara lehsun),16 raisins (kismis),1/4 tsp garam masala,1/4 tsp lemon juice, sugar to taste, salt to taste,,,,,,,,,,,,,,,,,,,,,,
Orange Basundi,4 cups milk,1 cup condensed milk,4 orange,1 tsp cardamom (elaichi) powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rava Dhokla,1 1/2 cups semolina (rava),1/4 cup chopped capsicum,1 tbsp sweet corn kernels (makai ke dane)  (optional),1/2 tsp ginger (adrak) paste,1/2 tsp green chilli paste,1/4 cup butter, salt to taste,1 1/2 tsp fruit salt  (eno), oil for greasing,2 tsp oil,1/4 tsp mustard seeds ( rai / sarson),1/4 tsp cumin seeds (jeera),1/4 tsp sesame seeds (til), pinch of asafoetida (hing), 6-7 curry leaves (kadi patta),1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,
Pineapple Vermicelli Halwa,1 tbsp ghee,1 cup vermicelli (seviyan),1 cup milk,1 cup sugar,1/2 cup pineapple pulp,10 pistachio slivers, few saffron (kesar) strands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jain Special- Kele Ke Kofte,1/4 tsp chopped ginger (adrak),"1/4 tsp slit green chillies , chopped",1/4 tsp cumin seeds (jeera),"6 raw bananas , boiled",1/4 tsp asafoetida (hing),1/4 tsp garam masala, salt to taste,1/4 tsp cumin seeds (jeera),250 gms beaten curds (dahi),1/4 tsp asafoetida (hing),1/4 tsp chopped ginger (adrak),1/4 tsp slit green chillies,1/4 tsp turmeric powder (haldi),1/4 tsp garam masala,1/4 tsp red chilli powder,3 to 4 cloves (laung / lavang),2 tbsp oil,,,,,,,,,,,,,,,,,,,,,
Mango Chiller,200 gms raw mango,1 cup sugar,2 tbsp grated ginger (adrak),1 tsp chaat masala,1 tsp roasted cumin seeds (jeera) powder,1 tsp dried mango powder (amchur),1 tsp dried mint leaves (phudina) powder,1 tsp rock salt,10 gms saffron (kesar) strands soaked in 1 tbsp of,1 tsp cinnamon (dalchini)  powder, ice cubes, few mint leaves (phudina),,,,,,,,,,,,,,,,,,,,,,,,,,
Doodhi Vadi Nu Shaak,3/4 cup chola dal (split cow peas) vadis,500 gms chopped bottle gourd (doodhi / lauki),3 tsp oil, salt to taste, a pinch of baking soda,1 tsp chilli powder,1/4 tsp turmeric powder (haldi),1/2 tsp coriander-cumin seeds (dhania-jeera) powder,2 tsp sugar, a pinch of asafoetida (hing),1 tbsp chopped coriander (dhania), oil for deep frying,2 tbsp chopped coriander (dhania), chapatis,,,,,,,,,,,,,,,,,,,,,,,,
Yummy Aam Ka Panna,"250 gms raw mangoes , peeled and roughly chopped",1/2 cup powdered sugar,1/4 cup mint leaves (phudina),1 tsp roasted cumin seeds (jeera) powder,1 tsp salt, a pinch of black salt (sanchal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasty Mango Panna,1 medium sized boiled raw mango,250 gms sugar,1 tsp white pepper powder,1 tsp freshly ground black pepper powder,2 tsp roasted cumin seeds (jeera) powder,1 tsp salt,2 tsp dried mint powder,5 cups water, ice cubes to serve, fresh mint leaves (phudina),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla Rice,7 amlas (indian gooseberries),1/2 cup grated coconut,4 to 5 sliced green chillies, salt to taste,1 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),2 tbsp peanuts,1/2 tsp chana dal (split bengal gram),1/2 tsp urad dal (split black lentils),5 dry red chillies, a pinch asafoetida (hing),6 curry leaves (kadi patta), a pinch turmeric powder (haldi),2 1/2 cups steamed rice (chawal),1/4 cup boiled green peas,,,,,,,,,,,,,,,,,,,,,,
Bajra na Thepla,1 cup bajra (black millet) flour,1 tbsp whole wheat flour (gehun ka atta),1 tbsp finely chopped garlic (lehsun), salt to taste, a pinch of turmeric powder (haldi), a pinch of asafoetida (hing),1 tsp freshly ground black pepper powder, ghee for cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajra Nu Halwa,1 cup bajra (black millet) flour,1 cup milk powder,3 tbsp powdered almonds (badam),1/2 cup ghee,3/4 cup powdered sugar,1/2 tsp cardamom (elaichi) powder, a pinch of saffron (kesar) strands, a pinch of salt,1/2 cup thinly sliced mixed nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet and Sour Bajra Dhokli,1 cup bajra (black millet) flour,1/4 cup wheat (gehun) flour,2 tbsp oil or ghee,2 tsp red chilli powder,1/2 tsp turmeric powder (haldi),1 tbsp finely chopped coriander (dhania), warm water for dough,"1 cup toovar (arhar) dal ,",1 tbsp moong dal (split  green gram),"1 tbsp. chana dal (split bengal gram) ,",10 to 12 cups water,1 tsp coriander (dhania) powder,1/2 tsp turmeric powder (haldi),2 tsp red chilli powder,1/4 tsp cinnamon (dalchini) clove powder,1/2 tsp garam masala,1/4 cup tamarind (imli) pulp,2 tbsp grated jaggery (gur),2 tbsp roasted peanuts,1/2 tsp cumin seeds (jeera),1/2 tsp mustard seeds ( rai / sarson),2 green chillies,10 to 12 curry leaves (kadi patta),1/8 tsp asafoetida (hing),2 tbsp ghee,1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,
Bajra ni Puri,2 cups fine bajra (black millet) flour,1/2 cup whole wheat flour (gehun ka atta),1 cup thick curds (dahi),1 tbsp finely grated ginger (adrak),1 tsp garlic (lehsun) paste,3 tbsp finely chopped jaggery (gur),1 tbsp black sesame seeds (kala til),1 tsp red chilli powder,1 tsp coriander (dhania) powder,1 tsp carom seeds (ajwain),1 tsp cumin seeds (jeera) powder, warm water for binding if needed, salt to taste, oil for frying,,,,,,,,,,,,,,,,,,,,,,,,
Bread Khaman,6 to 7 bread slices,1/4 cup butter,1 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1 tbsp green chilli paste,1 1/2 cups crumbled khaman dhoklas, salt to taste, a pinch turmeric powder (haldi), sugar to taste,100 gms sev,1 tbsp chopped coriander (dhania),1 tbsp freshly grated coconut,,,,,,,,,,,,,,,,,,,,,,,,,,
Matki Kachori,2 cups plain flour (maida), salt to taste,1 tbsp oil,1 tbsp oil,1/4 tsp urad dal (split black lentils),1/4 tsp mustard seeds ( rai / sarson),1/4 tsp cumin seeds (jeera),1 finely chopped potatoes,1/2 tbsp ginger-green chilli paste,1 cup cooked matki (moath beans),1 tsp chaat masala,1 tsp garam masala,1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder,1 tsp lemon juice,1 tsp sugar, salt to taste,1 tbsp chopped coriander (dhania),1 tbsp chopped mint leaves (phudina), oil for deep frying,,,,,,,,,,,,,,,,,,
Garlic Methi Thepla,2 cups whole wheat flour (gehun ka atta),1 cup chopped fenugreek (methi),2 tsp oil, salt to taste,1/2 tbsp chopped ginger (adrak),1 1/2 tbsp chopped garlic (lehsun),1 chopped green chillies,1 tsp chilli powder,1 tsp turmeric powder (haldi),2 tsp carom seeds (ajwain), a pinch asafoetida (hing),1 tbsp coriander (dhania) seeds powder, whole wheat flour (gehun ka atta) for rolling, oil for cooking,,,,,,,,,,,,,,,,,,,,,,,,
Mint Coriander Rice,1 tbsp oil,15 cashewnuts (kaju),2 cups chopped mint leaves (phudina),1 cup chopped coriander (dhania),10 chopped curry leaves (kadi patta),1 tbsp tamarind (imli) pulp,4 green chillies,3 tbsp grated coconut,2 tsp cumin seeds (jeera),1 tsp jaggery (gur)  (optional), a pinch of turmeric powder (haldi), a pinch of asafoetida (hing),1 cup boiled kabuli chana (white chick peas), salt to taste,2 1/2 cups steamed rice (chawal),,,,,,,,,,,,,,,,,,,,,,,
Strawberry Sheera,1 cup semolina (rava),3 tbsp ghee,2 cups milk,1/2 cup fresh cream,1 1/2 cups sugar,1 1/2 cups strawberry puree or strawberry squash,8 golden raisins (kismis),1 tsp cardamom (elaichi) powder,1/4 cup chopped strawberries,1 tbsp chopped strawberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaman Kakdi,"5 to 6 cucumber , shredded", salt to taste,1/3 cup roasted chana dal (daria),2 tsp ghee, salt to taste,1/2 tsp green chilli paste, 3-4 drops lemon juice,2 tbsp chopped coriander (dhania),2 tbsp grated coconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masaledar  Parathas,3 cups whole wheat flour (gehun ka atta),3/4 cup rice flour (chawal ka atta),1 tsp green chilli paste,1/4 tsp turmeric powder (haldi),3/4 tsp coriander (dhania),1/4 tsp chilli powder, salt to taste, a pinch of asafoetida (hing),2 tsp powdered sugar, sour curd for kneading dough as required, oil for cooking, rice flour (chawal ka atta) for rolling,,,,,,,,,,,,,,,,,,,,,,,,,,
Khajur Amli Ni Chutney,200 gms seedless dates (khajur), of tamarind (imli),1/4 tsp coriander-cumin seeds (dhania-jeera) powder, a pinch of asafoetida (hing),1/4 tsp chilli powder, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi Grain Golpapdi,3/4 cup ghee,1/2 cup whole wheat flour (gehun ka atta),1/4 cup soya flour,1/4 cup ragi (nachni / red millet) flour,"1 cup jaggery (gur) , powdered",1 tbsp grated and fried dry coconut (kopra),1 tbsp sesame seeds (til),1 tbsp chopped almonds (badam),1 tsp sesame seeds (til),1 tbsp almond (badam) slivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Basundi,10 cups milk,"12 strawberries , hulled and chopped","12 strawberries , hulled , chopped and pureed","10 to 12 almonds (badam) , blanched and sliced",3/4 cup sugar,1 1/2 tbsp sunflower seeds (surajmukhi ke beej)  (charoli/chironji),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halwasan,4 tsp ghee,"1 tsp whole wheat (gehun) , powdered",75 gms sugar,1 tbsp edible gum (gaund),500 ml milk,1/4 tsp cardamom (elaichi) powder,1/4 tsp nutmeg (jaiphal) powder,1/4 tsp mace (javantri) powder,1/4 tsp saffron (kesar) strands,1 tbsp almonds (badam) sliver for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Khaman,20 to 25 of khaman dhokla,30 gms chopped spinach (palak),55 gms chopped mint leaves (phudina),55 gms chopped coriander (dhania),3 tsp sugar, 6-7 green chillies,6 tsp curds (dahi), salt to taste,1 tsp mustard seeds ( rai / sarson), a pinch of asafoetida (hing), 5-6 curry leaves (kadi patta),,,,,,,,,,,,,,,,,,,,,,,,,,,
Desai Wada,50 gms whole wheat (gehun) flour,200 gms jowar (white millet) flour, salt to taste,2 tsp ginger-green chilli paste,1 tsp oil,1 tsp fenugreek (methi) seeds, a pinch of baking soda, a pinch of asafoetida (hing),2 tsp curds (dahi), oil for deep frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Corn Stuffed Puran Poli,1 cup corn (makai ke dane) kernel,2 tbsp milk powder,1/2 cup milk,2 tbsp sugar,2 tbsp gulkand  (rose petal jam),1/2 tsp cardamoms powder, few saffron (kesar) strands strands,1 tbsp ghee,2 cups whole wheat flour (gehun ka atta),2 tbsp fresh cream,1 tsp ghee, water – as per need,,,,,,,,,,,,,,,,,,,,,,,,,,
